interval_start,entity,low_senti,avg_senti,high_senti,num_datapoints
2019-05-31 01:54:00 UTC,Raptors,-0.9049,0.256,0.8999,104
2019-05-31 01:53:00 UTC,Jeremy Lin,0.5267,0.527,0.5267,1
2019-05-31 01:54:00 UTC,#DubNation,0.7297,0.73,0.7297,1
2019-05-31 01:54:00 UTC,Fred VanVleet,-0.561,-0.561,-0.561,1
2019-05-31 01:54:00 UTC,Stephen Curry,0.4404,0.549,0.5707,6
2019-05-31 01:53:00 UTC,#Game,0.3182,0.318,0.3182,1
2019-05-31 01:53:00 UTC,#Warriors,-0.4215,0.099,0.5859,4
2019-05-31 01:53:00 UTC,DeMarcus Cousins,-0.6124,0.131,0.6901,24
2019-05-31 01:53:00 UTC,#Team,-0.5411,-0.541,-0.5411,1
2019-05-31 01:53:00 UTC,#GoldenState,-0.5994,-0.599,-0.5994,1
2019-05-31 01:54:00 UTC,Serge Ibaka,-0.561,-0.561,-0.561,1
2019-05-31 01:53:00 UTC,Golden State,-0.7964,0.141,0.875,16
2019-05-31 01:54:00 UTC,DeMarcus Cousins,-0.6124,-0.23,0.3612,9
2019-05-31 01:54:00 UTC,Nav Bhatia,0.6249,0.625,0.6249,1
2019-05-31 01:54:00 UTC,Quinn Cook,-0.6341,0.196,0.8402,7
2019-05-31 01:53:00 UTC,Quinn Cook,-0.4874,0.285,0.7096,13
2019-05-31 01:53:00 UTC,Toronto,-0.8176,0.358,0.9037,59
2019-05-31 01:53:00 UTC,Kevin Durant,-0.296,-0.296,-0.296,1
2019-05-31 01:54:00 UTC,Kawhi Leonard,0.0516,0.308,0.5106,3
2019-05-31 01:53:00 UTC,Kawhi Leonard,0.3182,0.506,0.762,3
2019-05-31 01:54:00 UTC,Jeremy Lin,0.34,0.488,0.6369,2
2019-05-31 01:53:00 UTC,Serge Ibaka,-0.561,-0.415,0.4588,7
2019-05-31 01:54:00 UTC,#Raptors,-0.4767,0.442,0.7964,6
2019-05-31 01:53:00 UTC,Andrew Bogut,0.7876,0.788,0.7876,1
2019-05-31 01:53:00 UTC,#WeTheNorth,-0.561,0.269,0.9273,43
2019-05-31 01:54:00 UTC,Kevin Durant,0.3612,0.436,0.5106,2
2019-05-31 01:53:00 UTC,#GoldenStateWarriors,-0.5994,-0.599,-0.5994,1
2019-05-31 01:54:00 UTC,Warriors,-0.7964,0.109,0.9337,96
