interval_start,entity,low_senti,avg_senti,high_senti,num_datapoints
2019-06-03 00:03:00 UTC,Nav Bhatia,-0.4019,-0.402,-0.4019,1
2019-06-03 00:04:00 UTC,Jordan Bell,0.0772,0.338,0.5994,2
2019-06-03 00:01:00 UTC,Nav Bhatia,0.4767,0.477,0.4767,1
2019-06-03 00:04:00 UTC,#BBall,0.4926,0.493,0.4926,1
2019-06-03 00:05:00 UTC,#Hoops,-0.1759,-0.176,-0.1759,1
2019-06-03 00:05:00 UTC,#Player,0.9231,0.923,0.9231,1
2019-06-03 01:11:00 UTC,Jeremy Lin,0.4019,0.402,0.4019,1
2019-06-03 00:23:00 UTC,Jonas Jerebko,0.704,0.704,0.704,2
2019-06-03 00:26:00 UTC,#KevinDurant,0.7253,0.725,0.7253,3
2019-06-03 01:06:00 UTC,Jeremy Lin,0.34,0.34,0.34,1
2019-06-03 01:09:00 UTC,Jonas Jerebko,-0.168,0.251,0.4939,4
2019-06-03 00:42:00 UTC,Nav Bhatia,0.8979,0.898,0.8979,1
2019-06-03 01:12:00 UTC,Serge Ibaka,0.4939,0.494,0.4939,1
2019-06-03 00:50:00 UTC,Damion Lee,-0.6597,-0.66,-0.6597,1
2019-06-03 00:28:00 UTC,#KevinDurant,0.7253,0.725,0.7253,1
2019-06-03 00:47:00 UTC,Nav Bhatia,0.5859,0.586,0.5859,1
2019-06-03 01:14:00 UTC,#KevinDurant,-0.5719,-0.241,0.4199,3
2019-06-03 00:08:00 UTC,Jordan Bell,0.5719,0.572,0.5719,1
2019-06-03 00:56:00 UTC,Jonas Jerebko,-0.5719,0.171,0.6486,5
2019-06-03 01:12:00 UTC,#StephCurry,0.34,0.34,0.34,1
2019-06-03 00:44:00 UTC,Serge Ibaka,0.6124,0.612,0.6124,1
2019-06-03 00:18:00 UTC,#Player,0.3612,0.361,0.3612,1
2019-06-03 00:49:00 UTC,Nav Bhatia,0.5859,0.742,0.8979,2
2019-06-03 00:58:00 UTC,Jonas Jerebko,0.6486,0.649,0.6486,1
2019-06-03 00:43:00 UTC,Serge Ibaka,-0.2584,-0.258,-0.2584,1
2019-06-03 00:48:00 UTC,Jeremy Lin,0.6486,0.649,0.6486,1
2019-06-03 00:45:00 UTC,Nav Bhatia,0.2732,0.273,0.2732,1
2019-06-03 01:03:00 UTC,Marcus Derrickson,0.34,0.34,0.34,1
2019-06-03 00:44:00 UTC,#KevinDurant,-0.3089,-0.309,-0.3089,1
2019-06-03 00:51:00 UTC,Jonas Jerebko,0.8993,0.899,0.8993,1
2019-06-03 00:51:00 UTC,Serge Ibaka,0.5893,0.589,0.5893,1
2019-06-03 01:00:00 UTC,Alfonzo McKinnie,-0.5086,0.086,0.6808,2
2019-06-03 00:33:00 UTC,Alfonzo McKinnie,-0.5423,-0.033,0.4767,2
2019-06-03 00:59:00 UTC,Jacob Evans,-0.4767,-0.477,-0.4767,1
2019-06-03 00:09:00 UTC,#StephCurry,0.5994,0.599,0.5994,2
2019-06-03 01:03:00 UTC,Jonas Jerebko,-0.6249,-0.02,0.3612,3
2019-06-03 01:12:00 UTC,Jonas Jerebko,-0.5423,-0.408,-0.2732,2
2019-06-03 01:04:00 UTC,#BBall,0.7096,0.71,0.7096,1
2019-06-03 01:15:00 UTC,#StephCurry,-0.7096,-0.71,-0.7096,1
2019-06-03 01:05:00 UTC,Jonas Jerebko,-0.7256,-0.067,0.5994,7
2019-06-03 00:21:00 UTC,#Player,0.8519,0.852,0.8519,1
2019-06-03 00:57:00 UTC,Jeremy Lin,0.4404,0.44,0.4404,1
2019-06-03 00:59:00 UTC,#KevinDurant,0.4753,0.475,0.4753,1
2019-06-03 01:04:00 UTC,Jonas Jerebko,-0.7351,-0.217,0.6249,10
2019-06-03 00:29:00 UTC,#KevinDurant,0.7253,0.725,0.7253,1
2019-06-03 00:39:00 UTC,#Dunk,0.7148,0.715,0.7148,1
2019-06-03 01:04:00 UTC,#Dunk,0.4451,0.445,0.4451,1
2019-06-03 00:38:00 UTC,Serge Ibaka,-0.7159,-0.074,0.4927,7
2019-06-03 00:50:00 UTC,Jeremy Lin,0.1027,0.103,0.1027,1
2019-06-03 01:09:00 UTC,#KevinDurant,0.5859,0.586,0.5859,1
2019-06-03 01:07:00 UTC,#StephCurry,-0.4767,-0.477,-0.4767,1
2019-06-03 00:50:00 UTC,Serge Ibaka,0.4215,0.505,0.5893,2
2019-06-03 00:36:00 UTC,Serge Ibaka,-0.3296,0.055,0.4389,2
2019-06-03 00:27:00 UTC,#Hoops,0.4376,0.438,0.4376,1
2019-06-03 01:13:00 UTC,Serge Ibaka,0.5893,0.589,0.5893,1
